2026-05-27 12:58:31, MOVE, v:1, k:ed@wordsearch, mode:DOWN
2026-05-27 12:58:36, MOVE, v:1, k:ed@distancia, mode:DOWN
2026-05-27 12:58:47, MOVE, v:1, k:ed@bufferring, mode:DOWN
2026-05-27 12:58:49, MOVE, v:1, k:ed@queimando, mode:DOWN
2026-05-27 12:58:50, MOVE, v:1, k:ed@pilhado, mode:DOWN
2026-05-27 12:58:52, MOVE, v:1, k:ed@caminhao, mode:DOWN
2026-05-27 12:58:52, MOVE, v:1, k:ed@balanceada, mode:DOWN
2026-05-27 12:58:54, MOVE, v:1, k:ed@polonesa, mode:DOWN
2026-05-27 12:59:04, MOVE, v:1, k:ed@prin_list1, mode:PICK
2026-05-27 12:59:06, EXEC, v:1, k:ed@prin_list1, mode:FULL, size:172, fail:COMP
2026-05-27 12:59:07, EXEC, v:1, k:ed@prin_list1, mode:FULL, fail:COMP
2026-05-27 12:59:08, MOVE, v:1, k:ed@prin_list1, mode:BACK
2026-05-27 12:59:13, MOVE, v:1, k:ed@lista_d3, mode:DOWN
2026-05-27 12:59:14, MOVE, v:1, k:ed@prin_list2, mode:DOWN
2026-05-27 12:59:18, MOVE, v:1, k:ed@editor, mode:PICK
2026-05-27 12:59:19, EXEC, v:1, k:ed@editor, mode:FULL, rate:0, size:14
2026-05-27 12:59:20, MOVE, v:1, k:ed@editor, mode:BACK
2026-05-27 12:59:21, MOVE, v:1, k:ed@controlz, mode:DOWN
2026-05-27 12:59:55, MOVE, v:1, k:ed@controlz, mode:PICK
2026-05-27 12:59:57, MOVE, v:1, k:ed@controlz, mode:BACK
2026-05-27 12:59:57, MOVE, v:1, k:ed@controlz, mode:PICK
2026-05-27 12:59:58, MOVE, v:1, k:ed@controlz, mode:BACK
2026-05-27 13:00:00, MOVE, v:1, k:ed@bufferring, mode:PICK
2026-05-27 13:00:02, MOVE, v:1, k:ed@bufferring, mode:BACK
2026-05-27 12:58:31, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-27 12:58:31, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-27 12:58:31, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-27 12:58:31, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-27 12:58:36, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-05-27 12:58:36, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-05-27 12:58:36, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-05-27 12:58:47, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-05-27 12:58:47, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-05-27 12:58:47, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-05-27 12:58:47, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-05-27 12:58:49, MOVE, v:1, k:ed@queimando, mode:EDIT
2026-05-27 12:58:49, MOVE, v:1, k:ed@queimando, mode:EDIT
2026-05-27 12:58:49, MOVE, v:1, k:ed@queimando, mode:EDIT
2026-05-27 12:58:49, MOVE, v:1, k:ed@queimando, mode:EDIT
2026-05-27 12:58:50, MOVE, v:1, k:ed@pilhado, mode:EDIT
2026-05-27 12:58:50, MOVE, v:1, k:ed@pilhado, mode:EDIT
2026-05-27 12:58:50, MOVE, v:1, k:ed@pilhado, mode:EDIT
2026-05-27 12:58:50, MOVE, v:1, k:ed@pilhado, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@caminhao, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@caminhao, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@caminhao, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@balanceada, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@balanceada, mode:EDIT
2026-05-27 12:58:52, MOVE, v:1, k:ed@balanceada, mode:EDIT
2026-05-27 12:58:54, MOVE, v:1, k:ed@polonesa, mode:EDIT
2026-05-27 12:58:54, MOVE, v:1, k:ed@polonesa, mode:EDIT
2026-05-27 12:58:54, MOVE, v:1, k:ed@polonesa, mode:EDIT
2026-05-27 12:59:13, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-27 12:59:13, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-27 12:59:13, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-27 12:59:14, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-05-27 12:59:14, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-05-27 12:59:14, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-05-27 12:59:21, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-05-27 12:59:21, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-05-27 12:59:21, MOVE, v:1, k:ed@controlz, mode:EDIT
